Period,Time,Strength,Team,Shooter,Shot Type?,A1,A2,A3,A1 Zone,A2 Zone,A3 Zone,SC?,SOG?,Oddman,G?,RB,RB SOG?,RB G?,Home Score State,Goalie,Game ID,Date,Home:,Away: ,Home Goalies,Away Goalies,Coyotes,F,F,F,D,D,G/Extra Attacker,Opp,F,F,F,D,D,G/Extra Attacker
1,0:10,5v4,ARI,23,w,89,50,89,oc,opl,opc,y,,,,,,,2,30,20737,1/26/2016,WPG,ARI,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
2,19:41,5v4,ARI,19,w,89,50,23,nc,nc,dr,,,,,19,y,,2,30,20737,1/26/2016,WPG,ARI,,,,8,50,19,89,23,35,,12,26,5,8,30,0
2,18:22,5v4,ARI,26,w,5,26,16,opl,opc,oelpr,,,,,,,,2,30,20737,1/26/2016,WPG,ARI,,,,11,16,10,5,26,35,,6,22,27,5,8,30
2,18:15,5v5,WPG,27,w,22,,,dr,,,y,y,,,,,,2,35,20737,1/26/2016,WPG,ARI,,,,11,16,10,5,26,35,,6,22,27,5,8,30
2,17:49,5v5,WPG,26,t,7,27,,or,opl,,y,,,,,,,2,35,20737,1/26/2016,WPG,ARI,,,,12,19,48,2,26,35,,55,26,27,5,7,30
2,16:22,5v5,WPG,8,s,33,14,,opr,oelpr,,,,,,,,,2,35,20737,1/26/2016,WPG,ARI,,,,15,24,38,5,23,35,,18,14,16,8,33,30
2,16:14,5v5,WPG,12,w,18,,,ol,,,y,y,,,,,,2,35,20737,1/26/2016,WPG,ARI,,,,15,24,38,5,23,35,,18,12,16,8,33,30
2,15:38,5v5,WPG,57,w,26,55,,opc,of,,,y,,,,,,2,35,20737,1/26/2016,WPG,ARI,,,,11,16,10,2,26,35,,55,26,27,39,57,30
2,15:17,5v5,ARI,16,w,2,,,opl,,,,,,,,,,2,30,20737,1/26/2016,WPG,ARI,,,,11,16,10,2,26,35,,55,26,27,39,57,30
2,14:39,5v5,ARI,50,o,89,,,oell,,,,,,,,,,2,30,20737,1/26/2016,WPG,ARI,,,,8,50,89,28,44,35,,6,40,27,33,57,30
2,14:12,5v5,ARI,8,w,89,44,,nl,dc,,,,,,,,,2,30,20737,1/26/2016,WPG,ARI,,,,8,50,89,23,44,35,,6,22,40,8,33,30
2,12:25,5v5,WPG,27,b,55,27,,nr,dr,,y,,,,,,,3,35,20737,1/26/2016,WPG,ARI,,,,11,16,10,26,44,35,,55,26,27,39,57,30
2,11:13,5v5,WPG,7,o,40,,,oelc,,,y,,,,,,,3,35,20737,1/26/2016,WPG,ARI,,,,15,24,38,5,23,35,,6,22,40,5,7,30
2,10:16,5v5,WPG,18,w,16,8,18,nl,dl,dc,y,y,,,,,,3,35,20737,1/26/2016,WPG,ARI,,,,12,19,48,26,44,35,,18,12,16,8,33,30
2,10:10,5v5,WPG,57,w,55,,,ofp,,,,,,,,,,3,35,20737,1/26/2016,WPG,ARI,,,,11,16,10,2,28,35,,55,26,27,39,57,30
2,10:05,5v5,WPG,27,t,55,,,oelc,,,y,,,,,,,3,35,20737,1/26/2016,WPG,ARI,,,,11,16,10,2,28,35,,55,26,27,39,57,30
2,9:36,5v5,WPG,26,w,55,26,39,orrc,orrc,oelrrl,y,y,,,,,,3,35,20737,1/26/2016,WPG,ARI,,,,11,16,10,2,28,35,,55,26,27,39,57,30
2,8:58,5v5,ARI,50,w,10,23,,oelr,dsl,,y,y,,,,,,3,30,20737,1/26/2016,WPG,ARI,,,,16,50,10,28,44,35,,18,12,16,39,57,30
2,8:44,5v5,ARI,8,o,50,26,,oelc,or,,y,,,,,,,3,30,20737,1/26/2016,WPG,ARI,,,,8,50,89,26,44,35,,55,26,27,8,33,30
2,8:17,5v5,WPG,55,w,26,55,26,oc,ol,nc,y,y,,,,,,3,35,20737,1/26/2016,WPG,ARI,,,,8,50,89,28,44,35,,55,26,27,8,33,30
2,7:24,5v5,ARI,38,w,24,,,dc,,,,y,,,,,,3,30,20737,1/26/2016,WPG,ARI,,,,15,24,38,5,23,35,,6,22,40,5,7,30
2,7:15,5v5,ARI,48,o,12,5,,ol,or,,y,,,,,,,3,30,20737,1/26/2016,WPG,ARI,,,,12,19,48,5,23,35,,18,12,16,5,7,30
2,7:05,5v5,ARI,19,w,23,,,nl,,,,y,,,,,,3,30,20737,1/26/2016,WPG,ARI,,,,12,19,48,5,23,35,,18,12,16,5,7,30
2,5:29,5v5,WPG,27,w,26,27,,ol,oell,,y,y,,y,,,,3,35,20737,1/26/2016,WPG,ARI,,,,11,16,89,26,44,35,,55,26,27,8,33,30
2,3:56,5v5,ARI,23,w,15,,,oelc,,,,,,,,,,3,30,20737,1/26/2016,WPG,ARI,,,,15,24,50,38,5,23,,18,12,16,5,7,30
2,3:40,5v4,ARI,11,w,10,89,,oc,ol,,,y,,,,,,3,30,20737,1/26/2016,WPG,ARI,,,,11,16,10,89,23,35,,18,16,5,8,30,0
2,2:28,5v3,ARI,5,w,11,50,89,opc,ol,opl,,,,,,,,3,30,20737,1/26/2016,WPG,ARI,,,,11,50,89,5,23,35,,16,33,57,30,0,0
2,2:17,3v5,WPG,33,w,57,,,dsc,,,y,y,1 on 0,y,,,,3,35,20737,1/26/2016,WPG,ARI,,,,11,50,89,5,23,35,,16,33,57,30,0,0
2,1:54,5v3,ARI,10,o,5,16,5,orrc,opl,ol,y,,,,,,,4,30,20737,1/26/2016,WPG,ARI,,,,11,16,10,5,26,35,,6,33,39,30,0,0
2,1:45,5v4,ARI,5,o,11,,,opr,,,,,,,16,,,4,30,20737,1/26/2016,WPG,ARI,,,,11,16,10,5,26,35,,6,7,33,39,30,0
2,1:37,5v5,ARI,26,o,23,,,or,,,,,,,,,,4,30,20737,1/26/2016,WPG,ARI,,,,11,16,10,23,26,35,,6,7,8,33,39,30
2,1:23,5v5,ARI,10,w,23,,,nsl,,,y,y,1 on 0,,,,,4,30,20737,1/26/2016,WPG,ARI,,,,11,16,10,23,26,35,,6,12,16,33,57,30
2,0:04,5v5,WPG,26,w,57,,,dc,,,,,,,,,,4,35,20737,1/26/2016,WPG,ARI,,,,15,24,38,26,44,35,,55,26,27,7,57,30
3,18:07,5v5,ARI,38,w,28,24,,opr,oelr,,,y,,,,,,4,30,20737,1/26/2016,WPG,ARI,,,,15,24,38,2,28,29,,6,22,40,5,8,30
3,17:23,5v5,WPG,15,w,39,,,nc,,,,y,,,,,,4,29,20737,1/26/2016,WPG,ARI,,,,8,50,89,26,44,29,,9,14,15,39,57,30
3,17:18,5v5,WPG,18,t,57,16,,oc,opr,,y,y,,,,,,4,29,20737,1/26/2016,WPG,ARI,,,,12,19,48,5,23,29,,18,12,16,39,57,30
3,16:22,5v5,WPG,55,o,16,12,,oelpc,oell,,,y,,,,,,4,29,20737,1/26/2016,WPG,ARI,,,,11,16,19,5,23,29,,55,12,16,7,33,30
3,15:18,5v5,WPG,6,b,40,,,nl,,,y,y,,,6,,,4,29,20737,1/26/2016,WPG,ARI,,,,15,24,38,2,28,29,,6,22,40,5,8,30
3,15:12,5v5,WPG,40,r,,,,,,,y,,,,,,,4,29,20737,1/26/2016,WPG,ARI,,,,15,24,38,2,28,29,,6,22,40,5,8,30
3,14:33,5v5,WPG,9,w,5,7,5,dsl,dr,dl,,y,,,,,,4,29,20737,1/26/2016,WPG,ARI,,,,8,50,89,26,44,29,,9,14,15,39,57,30
3,13:58,5v4,ARI,16,s,86,,,oc,,,,,,,,,,4,30,20737,1/26/2016,WPG,ARI,,,,11,16,10,89,23,29,,18,16,5,8,30,0
3,12:45,5v4,ARI,26,w,5,,,opc,,,,y,,,,,,4,30,20737,1/26/2016,WPG,ARI,,,,8,50,19,5,26,29,,6,22,5,8,30,0
3,12:37,5v4,ARI,5,w,26,8,19,opl,opl,oell,,,,,,,,4,30,20737,1/26/2016,WPG,ARI,,,,8,50,19,5,26,29,,6,22,5,8,30,0
3,11:05,5v4,WPG,33,t,27,55,57,oc,ol,opl,y,,,,,,,4,29,20737,1/26/2016,WPG,ARI,,,,12,19,5,44,29,0,,55,26,27,33,57,30
3,10:58,5v4,WPG,55,w,27,26,,orrr,or,,y,y,,,,,,4,29,20737,1/26/2016,WPG,ARI,,,,12,19,5,44,29,0,,55,26,27,33,57,30
3,7:59,5v5,ARI,28,o,2,,,opc,,,,,,,,,,4,30,20737,1/26/2016,WPG,ARI,,,,12,19,48,2,28,29,,9,14,15,7,33,30
3,7:46,5v5,ARI,19,w,48,,,oelr,,,y,,,,,,,4,30,20737,1/26/2016,WPG,ARI,,,,12,19,48,2,28,29,,9,14,15,7,33,30
3,6:06,5v5,WPG,18,b,16,5,7,nl,dl,dr,y,y,,,12,y,,4,29,20737,1/26/2016,WPG,ARI,,,,8,50,89,26,44,29,,18,12,16,5,8,30
3,4:19,5v4,WPG,8,o,39,55,,oc,opr,,,y,,,26,y,,4,29,20737,1/26/2016,WPG,ARI,,,,15,48,5,44,29,0,,55,26,27,8,39,30
3,4:02,5v4,WPG,39,w,26,55,8,oelrrc,ol,oc,y,,,,,,,4,29,20737,1/26/2016,WPG,ARI,,,,15,50,48,5,44,29,,55,26,27,8,39,30
3,3:11,5v5,ARI,26,w,16,,,oc,,,y,y,,,,,,4,30,20737,1/26/2016,WPG,ARI,,,,11,16,10,23,26,29,,6,22,40,7,33,30
3,3:00,5v5,ARI,23,w,16,10,,orrr,or,,y,y,,,,,,4,30,20737,1/26/2016,WPG,ARI,,,,11,16,10,23,26,29,,6,22,40,7,33,30
3,1:31,5v5,ARI,44,s,24,,,oc,,,,,,,,,,4,30,20737,1/26/2016,WPG,ARI,,,,15,24,38,26,44,29,,6,22,40,5,8,30
3,0:17,5v5,ARI,10,o,11,,,orrc,,,y,y,,y,,,,4,30,20737,1/26/2016,WPG,ARI,,,,11,16,10,2,28,29,,6,22,40,39,57,30
1,19:06,5v5,ARI,2,w,89,12,48,ol,oelc,or,,y,,,,,,0,50,20550,12/29/2015,ARI,CHI,29,50,,12,19,48,2,26,29,,15,72,88,7,57,50
1,18:39,5v5,CHI,24,w,11,52,,nr,dr,,,,,,,,,0,29,20550,12/29/2015,ARI,CHI,35,33,,8,9,10,4,34,29,,11,24,86,32,52,50
1,17:56,5v5,CHI,72,w,88,,,or,,,y,,,,,,,0,29,20550,12/29/2015,ARI,CHI,,,,12,19,48,23,26,29,,15,72,88,7,52,50
1,17:51,5v5,CHI,88,w,72,88,,oelc,oelr,,,,,,,,,0,29,20550,12/29/2015,ARI,CHI,,,,12,19,48,23,26,29,,15,72,88,32,52,50
1,17:25,5v5,CHI,52,w,29,28,,opl,oelc,,,,,,,,,0,29,20550,12/29/2015,ARI,CHI,,,,24,76,22,4,34,29,,28,70,29,32,52,50
1,15:34,5v5,ARI,4,o,10,9,8,or,dl,dc,,,,,,,,0,50,20550,12/29/2015,ARI,CHI,,,,8,9,10,4,34,29,,15,72,88,7,57,50
1,14:39,4v5,ARI,19,o,12,,,orrc,,,y,y,2 on 1,,,,,0,50,20550,12/29/2015,ARI,CHI,,,,12,19,2,26,29,0,,19,65,81,86,52,50
1,13:39,5v4,CHI,2,o,88,81,,ol,nr,,y,y,,y,,,,0,29,20550,12/29/2015,ARI,CHI,,,,8,50,2,26,29,0,,19,81,88,2,4,50
1,12:31,5v4,CHI,2,t,88,7,72,or,oc,opl,y,,,,,,,-1,29,20550,12/29/2015,ARI,CHI,,,,24,48,2,26,29,0,,15,72,88,2,7,50
1,12:24,5v4,CHI,15,t,7,88,15,oc,opr,oelc,y,y,,y,,,,-1,29,20550,12/29/2015,ARI,CHI,,,,24,48,2,26,29,0,,15,72,88,2,7,50
1,11:48,5v5,ARI,2,w,8,76,,opl,of,,,y,,,,,,-2,50,20550,12/29/2015,ARI,CHI,,,,8,76,22,2,26,29,,11,24,86,7,57,50
1,11:34,5v4,ARI,19,t,23,8,23,oc,oc,or,y,y,,,,,,-2,50,20550,12/29/2015,ARI,CHI,,,,8,50,19,89,23,29,,11,15,2,4,50,0
1,10:52,5v4,ARI,8,w,23,89,,or,ol,,,y,,,19,y,,-2,50,20550,12/29/2015,ARI,CHI,,,,8,50,19,89,23,29,,19,81,2,4,50,0
1,9:42,5v5,ARI,19,w,23,,,dc,,,,y,,y,,,,-2,50,20550,12/29/2015,ARI,CHI,,,,24,12,19,2,23,29,,19,72,86,7,57,50
1,8:38,5v5,CHI,2,o,70,28,,opl,oell,,,,,,,,,-1,29,20550,12/29/2015,ARI,CHI,,,,16,50,89,26,34,29,,28,70,29,2,4,50
1,8:03,5v5,ARI,23,s,22,,,oc,,,,,,,23,,,-1,50,20550,12/29/2015,ARI,CHI,,,,16,76,22,4,23,29,,28,70,29,2,4,50
1,7:53,5v5,ARI,4,o,23,22,76,oelc,oell,oelc,y,y,,y,,,,-1,50,20550,12/29/2015,ARI,CHI,,,,8,76,22,4,23,29,,28,70,29,2,4,50
1,6:05,5v5,ARI,50,s,89,4,16,opr,dc,nl,,y,,,,,,0,50,20550,12/29/2015,ARI,CHI,,,,16,50,89,4,23,29,,19,65,81,4,52,50
1,5:27,5v5,CHI,72,w,2,88,72,nc,nl,nc,y,y,,,,,,0,29,20550,12/29/2015,ARI,CHI,,,,16,50,89,2,26,29,,15,72,88,2,4,50
1,4:57,5v4,ARI,89,w,23,89,,or,ol,,,y,,,,,,0,50,20550,12/29/2015,ARI,CHI,,,,8,50,19,89,23,29,,11,15,7,57,50,0
1,4:18,5v4,ARI,19,w,89,23,,dc,dr,,,,,,,,,0,50,20550,12/29/2015,ARI,CHI,,,,16,19,48,89,23,29,,19,81,2,52,50,0
1,3:53,5v4,ARI,23,s,26,,,or,,,,,,,,,,0,50,20550,12/29/2015,ARI,CHI,,,,16,9,48,23,26,29,,11,15,2,52,50,0
1,3:40,5v4,ARI,48,t,26,9,,oc,opl,,y,,,,,,,0,50,20550,12/29/2015,ARI,CHI,,,,16,9,48,23,26,29,,11,15,2,52,50,0
1,3:19,5v4,ARI,89,s,50,8,50,opc,ol,nl,,y,,,,,,0,50,20550,12/29/2015,ARI,CHI,,,,8,50,19,89,23,29,,19,81,7,57,50,0
1,3:15,5v4,ARI,26,s,2,76,,ol,of,,,y,,,,,,0,50,20550,12/29/2015,ARI,CHI,,,,24,76,22,2,26,29,,11,15,2,32,50,0
1,3:09,5v5,ARI,4,o,22,,,ofp,,,,,,,,,,0,50,20550,12/29/2015,ARI,CHI,,,,8,76,22,4,34,29,,11,24,86,2,4,50
1,2:18,5v5,CHI,7,w,57,,,opc,,,,,,,,,,0,29,20550,12/29/2015,ARI,CHI,,,,12,19,48,2,26,29,,15,72,88,7,57,50
1,0:52,5v4,CHI,72,w,7,2,7,oc,opr,oc,y,y,,y,,,,0,29,20550,12/29/2015,ARI,CHI,,,,24,48,2,26,29,0,,15,72,88,2,7,50
2,18:43,5v5,ARI,50,b,16,35,,ol,dc,,y,y,,,,,,-1,50,20550,12/29/2015,ARI,CHI,,,,0,16,50,89,2,26,,15,72,88,7,57,50
2,18:00,5v5,CHI,11,w,86,24,2,oc,dr,dc,,y,,y,,,,-1,35,20550,12/29/2015,ARI,CHI,,,,0,8,76,22,5,23,,11,70,86,32,52,50
2,17:07,5v5,CHI,81,w,19,,,or,,,y,y,,,,,,-2,35,20550,12/29/2015,ARI,CHI,,,,0,12,19,48,5,23,,19,65,81,32,52,50
2,16:58,5v5,CHI,19,w,65,19,,ol,of,,,y,,,,,,-2,35,20550,12/29/2015,ARI,CHI,,,,0,12,19,48,5,23,,19,65,81,7,57,50
2,16:30,5v5,ARI,19,t,5,48,,oc,opr,,,,,,,,,-2,50,20550,12/29/2015,ARI,CHI,,,,0,12,19,48,5,23,,19,65,81,7,57,50
2,15:42,5v5,CHI,15,w,88,52,2,or,oc,opc,,y,,,,,,-2,35,20550,12/29/2015,ARI,CHI,,,,0,12,19,48,5,23,,15,72,88,2,52,50
2,15:26,5v5,CHI,52,o,72,88,72,orrc,ol,ol,y,,,,,,,-2,35,20550,12/29/2015,ARI,CHI,,,,0,12,19,48,5,23,,15,72,88,2,52,50
2,14:32,5v5,ARI,16,b,89,2,50,ol,oc,ofp,y,,,,,,,-2,50,20550,12/29/2015,ARI,CHI,,,,0,16,50,89,2,26,,11,24,86,4,7,50
2,14:28,5v5,ARI,16,t,26,50,,or,opr,,y,,,,,,,-2,50,20550,12/29/2015,ARI,CHI,,,,0,16,50,89,2,26,,11,24,86,4,7,50
2,13:35,5v4,ARI,89,w,50,,,ofp,,,,,,,,,,-2,50,20550,12/29/2015,ARI,CHI,,,,0,8,50,19,89,23,,19,81,7,57,50,0
2,13:30,5v4,ARI,19,t,23,89,23,oc,oc,ol,y,y,,,,,,-2,50,20550,12/29/2015,ARI,CHI,,,,0,8,50,19,89,23,,19,81,7,57,50,0
2,12:59,5v4,ARI,23,w,19,,,opr,,,,,,,,,,-2,50,20550,12/29/2015,ARI,CHI,,,,0,8,50,19,89,23,,11,15,2,4,50,0
2,12:20,4v4,ARI,26,w,2,12,,oc,opl,,,y,,,,,,-2,50,20550,12/29/2015,ARI,CHI,,,,0,16,12,2,26,35,,19,81,7,57,50,0
2,12:06,4v4,CHI,57,w,19,7,,or,dr,,y,,,,,,,-2,35,20550,12/29/2015,ARI,CHI,,,,0,16,12,2,4,35,,19,81,7,57,50,0
2,11:38,5v4,CHI,19,b,88,52,72,or,oc,opl,,y,,,,,,-2,35,20550,12/29/2015,ARI,CHI,,,,0,24,48,2,4,35,,19,72,88,2,52,50
2,11:27,5v4,CHI,72,w,15,88,7,orrc,or,oc,y,y,,,,,,-2,35,20550,12/29/2015,ARI,CHI,,,,0,8,50,4,34,35,,15,72,88,2,7,50
2,11:20,5v4,CHI,2,w,88,2,15,ol,oc,of,y,y,,,,,,-2,35,20550,12/29/2015,ARI,CHI,,,,0,8,50,4,34,35,,15,72,88,2,7,50
2,10:45,5v5,ARI,8,t,23,34,,ol,nl,,y,y,,,,,,-2,50,20550,12/29/2015,ARI,CHI,,,,0,8,50,4,23,34,,15,72,88,2,7,50
2,10:23,5v4,ARI,23,w,26,23,9,or,oc,of,,,,,,,,-2,50,20550,12/29/2015,ARI,CHI,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
2,9:48,4v5,CHI,81,w,19,,,oelc,,,,y,,,,,,-2,35,20550,12/29/2015,ARI,CHI,,,,0,16,9,10,23,26,,19,81,7,57,50,0
2,9:06,5v5,ARI,19,t,5,89,8,oc,oc,opl,y,y,,,,,,-2,50,20550,12/29/2015,ARI,CHI,,,,0,8,50,19,89,5,,11,15,7,57,50,0
2,8:54,5v4,ARI,89,w,23,89,23,oc,oc,or,,y,,,,,,-2,50,20550,12/29/2015,ARI,CHI,,,,0,8,50,19,89,23,,19,81,2,4,50,0
2,7:59,5v5,ARI,26,s,76,,,oelc,,,,,,,,,,-2,50,20550,12/29/2015,ARI,CHI,,,,0,76,22,48,2,26,,70,72,88,7,57,50
2,7:44,5v5,ARI,22,w,2,,,dc,,,,,,,,,,-2,50,20550,12/29/2015,ARI,CHI,,,,0,76,22,48,2,26,,88,24,29,7,57,50
2,7:26,5v5,ARI,24,w,34,,,nl,,,,y,,,,,,-2,50,20550,12/29/2015,ARI,CHI,,,,0,24,12,19,4,34,,24,29,86,7,57,50
2,7:03,5v5,ARI,4,w,12,24,,oelc,or,,y,y,,,,,,-2,50,20550,12/29/2015,ARI,CHI,,,,0,24,12,19,4,34,,24,29,86,7,57,50
2,6:12,5v5,CHI,88,w,65,52,,orrc,oc,,y,y,,y,,,,-2,35,20550,12/29/2015,ARI,CHI,,,,0,16,50,89,5,34,,15,65,88,32,52,50
2,5:38,5v5,CHI,15,o,72,88,15,oelc,or,or,y,,,,,,,-3,35,20550,12/29/2015,ARI,CHI,,,,0,16,50,89,4,34,,15,72,88,2,4,50
2,4:30,5v5,CHI,32,w,11,,,oelpc,,,,y,,,,,,-3,35,20550,12/29/2015,ARI,CHI,,,,0,8,76,22,2,26,,11,24,86,32,52,50
2,2:48,5v5,CHI,88,w,32,15,,oc,opr,,,,,,,,,-3,35,20550,12/29/2015,ARI,CHI,,,,0,9,10,48,5,23,,15,65,88,32,52,50
2,2:28,5v5,CHI,88,b,15,32,,nr,dr,,y,,,,,,,-3,35,20550,12/29/2015,ARI,CHI,,,,0,12,19,48,5,23,,15,72,88,32,52,50
2,2:17,5v5,ARI,19,w,24,4,12,or,nc,nf,,,,,,,,-3,50,20550,12/29/2015,ARI,CHI,,,,0,24,12,19,4,34,,28,70,29,32,52,50
2,1:31,5v5,ARI,16,w,89,50,23,oc,oc,nr,y,y,,,16,y,,-3,50,20550,12/29/2015,ARI,CHI,,,,0,16,50,89,5,23,,15,72,88,32,52,50
2,0:17,5v5,ARI,2,w,10,24,,oelpc,or,,,y,,,,,,-3,50,20550,12/29/2015,ARI,CHI,,,,0,8,9,10,2,26,,15,72,88,7,57,50
3,19:33,5v5,ARI,48,w,5,23,12,dr,dc,nf,,,,,,,,-3,50,20550,12/29/2015,ARI,CHI,,,,12,19,48,5,23,35,,19,65,81,7,57,50
3,17:34,5v5,ARI,76,w,24,23,,dl,dl,,y,,,,,,,-3,50,20550,12/29/2015,ARI,CHI,,,,24,76,89,5,23,35,,28,70,29,32,52,50
3,16:48,5v5,ARI,4,w,2,24,2,ol,ol,nc,,,,,,,,-3,50,20550,12/29/2015,ARI,CHI,,,,24,12,22,2,4,35,,19,65,81,2,4,50
3,16:29,5v5,ARI,4,s,19,,,ofp,,,,,,,,,,-3,50,20550,12/29/2015,ARI,CHI,,,,24,12,22,2,4,35,,19,65,81,2,4,50
3,15:56,5v5,ARI,5,w,12,23,19,oc,ol,oc,,y,,,19,y,,-3,50,20550,12/29/2015,ARI,CHI,,,,12,19,48,5,23,35,,15,72,88,7,57,50
3,15:40,5v5,ARI,23,w,12,,,or,,,,,,,,,,-3,50,20550,12/29/2015,ARI,CHI,,,,12,19,48,5,23,35,,15,72,88,7,57,50
3,14:57,5v5,CHI,11,w,86,11,32,oc,nc,nr,y,y,,y,,,,-3,35,20550,12/29/2015,ARI,CHI,,,,8,50,89,2,26,35,,11,24,86,32,52,50
3,13:53,5v5,CHI,81,o,65,52,81,ol,ol,opl,,,,,,,,-4,35,20550,12/29/2015,ARI,CHI,,,,16,76,22,4,34,35,,19,65,81,32,52,50
3,13:17,5v5,ARI,76,w,16,4,,ol,dc,,,,,,,,,-4,50,20550,12/29/2015,ARI,CHI,,,,16,76,22,5,23,35,,19,72,81,32,52,50
3,13:10,5v5,CHI,19,w,32,,,oc,,,y,y,,,,,,-4,35,20550,12/29/2015,ARI,CHI,,,,24,76,22,5,23,35,,19,72,88,32,57,50
3,12:43,5v4,ARI,19,w,23,8,23,oc,or,oc,y,y,,y,,,,-4,50,20550,12/29/2015,ARI,CHI,,,,8,50,19,89,23,35,,11,15,2,4,50,0
3,12:08,5v5,ARI,89,s,50,,,oelc,,,,,,,,,,-3,50,20550,12/29/2015,ARI,CHI,,,,8,50,89,5,23,35,,11,24,86,32,52,50
3,8:19,5v4,ARI,19,w,23,,,or,,,,y,,,,,,-3,50,20550,12/29/2015,ARI,CHI,,,,8,50,19,89,23,35,,11,15,2,4,50,0
3,7:48,5v4,ARI,10,w,23,89,10,oc,oc,opl,,y,,,,,,-3,50,20550,12/29/2015,ARI,CHI,,,,16,9,10,89,23,35,,19,81,7,57,50,0
3,7:35,5v4,ARI,9,t,16,89,,oc,opr,,y,,,,,,,-3,50,20550,12/29/2015,ARI,CHI,,,,16,9,10,89,23,35,,19,81,7,57,50,0
3,7:23,5v4,ARI,89,w,23,16,,ol,oc,,,,,,,,,-3,50,20550,12/29/2015,ARI,CHI,,,,16,9,10,89,23,35,,19,81,7,57,50,0
3,7:07,5v4,ARI,16,w,26,10,,oc,oelc,,y,,,,,,,-3,50,20550,12/29/2015,ARI,CHI,,,,16,9,10,23,26,35,,19,81,7,57,50,0
3,6:57,5v5,ARI,5,w,8,26,50,ol,oc,ofp,,y,,y,,,,-3,50,20550,12/29/2015,ARI,CHI,,,,8,50,19,5,26,35,,11,15,29,2,4,50
3,5:33,5v5,ARI,48,w,19,26,,oc,dc,,,y,,,,,,-2,50,20550,12/29/2015,ARI,CHI,,,,12,19,48,23,26,35,,19,65,81,32,52,50
3,5:30,5v5,ARI,16,w,19,,,ofp,,,,y,,,,,,-2,50,20550,12/29/2015,ARI,CHI,,,,16,12,19,5,23,35,,19,65,81,2,4,50
3,5:19,5v5,CHI,81,w,65,4,2,dl,dc,dc,,y,,,,,,-2,35,20550,12/29/2015,ARI,CHI,,,,16,12,19,5,23,35,,19,65,81,2,4,50
3,3:59,5v5,CHI,72,w,7,57,24,oc,opc,ol,,y,,,,,,-2,35,20550,12/29/2015,ARI,CHI,,,,8,50,89,4,26,35,,72,88,24,7,57,50
3,2:25,6v5,ARI,8,w,4,26,,oc,ol,,,,,,,,,-2,50,20550,12/29/2015,ARI,CHI,,,,8,50,10,89,4,26,,19,65,81,2,4,50
3,1:53,6v4,ARI,89,t,26,8,26,oc,opr,or,y,y,,,50,y,,-2,50,20550,12/29/2015,ARI,CHI,,,,8,50,19,89,23,26,,11,15,2,4,50,0
3,1:39,4v6,CHI,19,w,86,,,nl,,,,y,,y,,,,-2,35,20550,12/29/2015,ARI,CHI,,,,8,16,50,19,89,26,,19,86,2,4,50,0
3,0:28,5v3,ARI,19,o,89,8,89,orrc,oc,oc,y,y,,y,,,,-3,50,20550,12/29/2015,ARI,CHI,,,,8,50,19,89,26,35,,24,4,7,50,0,0
3,0:09,5v4,ARI,89,w,8,26,,or,or,,,,,,,,,-2,50,20550,12/29/2015,ARI,CHI,,,,8,50,19,89,26,35,,19,81,32,52,50,0
