Period,Time,Strength,Team,Shooter,Shot Type?,A1,A2,A3,A1 Zone,A2 Zone,A3 Zone,SC?,SOG?,Oddman,G?,RB,RB SOG?,RB G?,Home Score State,Goalie,Game ID,Date,Home:,Away: ,Home Goalies,Away Goalies,Isles,F,F,F,D,D,G/Extra Attacker,Opp,F,F,F,D,D,G/Extra Attacker
1,19:22,5v5,NYI,18,w,17,,,ol,,,Y,,,,,,,0,33,20026,10/10/2015,CHI,NYI,33,30,Starter,18,91,17,3,44,30,,19,28,81,4,43,33
1,17:25,5v5,CHI,86,s,14,7,,nr,dc,,,y,,,,,,0,30,20026,10/10/2015,CHI,NYI,50,1,Backup,53,15,17,2,55,30,,14,29,86,2,4,33
1,16:16,5v5,NYI,21,w,12,51,,dl,dl,,,y,,,,,,0,33,20026,10/10/2015,CHI,NYI,,,,12,51,21,3,44,30,,15,72,88,6,57,33
1,16:13,5v5,NYI,51,o,12,,,oelc,,,,,,,,,,0,33,20026,10/10/2015,CHI,NYI,,,,12,51,21,3,44,30,,15,72,88,6,57,33
1,15:53,5v5,CHI,88,w,57,72,,oc,opl,,,y,,,57,y,y,0,30,20026,10/10/2015,CHI,NYI,,,,12,51,21,3,44,30,,15,72,88,6,57,33
1,15:36,5v5,NYI,27,,29,,,opl,,,,,,,,,,1,33,20026,10/10/2015,CHI,NYI,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
1,15:03,5v5,NYI,53,s,15,37,,nc,dsr,,,,,,,,,1,33,20026,10/10/2015,CHI,NYI,,,,53,15,17,2,55,30,,11,16,65,2,57,33
1,14:50,5v5,CHI,16,w,2,,,dc,,,,y,,,,,,1,30,20026,10/10/2015,CHI,NYI,,,,53,15,17,2,55,30,,11,16,65,2,57,33
1,14:43,5v5,CHI,6,w,81,57,19,oc,oc,of,,,,,,,,1,30,20026,10/10/2015,CHI,NYI,,,,53,15,17,2,55,30,,19,28,81,6,57,33
1,13:54,5v5,CHI,15,a,88,,,or,,,y,y,,,,,,1,30,20026,10/10/2015,CHI,NYI,,,,18,27,91,3,55,30,,15,72,88,2,4,33
1,11:37,5v5,CHI,6,w,19,81,,ol,oc,,y,,,,,,,1,30,20026,10/10/2015,CHI,NYI,,,,29,84,86,2,55,30,,19,28,81,6,57,33
1,11:17,5v5,NYI,44,o,17,,,opl,,,,y,,,,,,1,33,20026,10/10/2015,CHI,NYI,,,,29,84,17,3,44,30,,19,72,81,6,57,33
1,11:12,5v5,NYI,3,w,44,53,,oc,of,,,,,,,,,1,33,20026,10/10/2015,CHI,NYI,,,,53,15,17,3,44,30,,15,16,88,7,43,33
1,11:05,5v5,NYI,17,o,15,44,,ol,ol,,,y,,,,,,1,33,20026,10/10/2015,CHI,NYI,,,,53,15,17,3,44,30,,15,16,88,7,43,33
1,10:49,5v5,NYI,3,s,44,17,43,opl,opl,ol,,,,,,,,1,33,20026,10/10/2015,CHI,NYI,,,,53,15,17,3,44,30,,15,16,88,7,43,33
1,9:10,5v5,NYI,12,w,51,12,,oelc,or,,,,,,,,,1,33,20026,10/10/2015,CHI,NYI,,,,12,51,21,2,55,30,,19,28,81,6,57,33
1,8:36,5v5,CHI,7,s,19,7,19,opr,or,opr,,,,,,,,1,30,20026,10/10/2015,CHI,NYI,,,,12,29,84,2,55,30,,19,28,81,7,43,33
1,7:52,5v5,NYI,84,w,29,44,,nl,dl,,y,y,,,,,,1,33,20026,10/10/2015,CHI,NYI,,,,29,84,86,3,44,30,,15,72,88,7,43,33
1,7:17,5v5,CHI,29,o,86,6,,oc,dc,,y,,,,,,,1,30,20026,10/10/2015,CHI,NYI,,,,53,15,17,28,37,30,,14,29,86,6,57,33
1,7:00,5v5,CHI,14,w,86,,,ol,,,,y,,,,,,1,30,20026,10/10/2015,CHI,NYI,,,,91,15,17,28,37,30,,14,29,86,2,4,33
1,6:40,5v5,NYI,27,o,18,,,oelc,,,y,y,,,91,y,,1,33,20026,10/10/2015,CHI,NYI,,,,18,27,91,2,55,30,,11,16,65,2,4,33
1,6:13,5v5,CHI,4,s,2,16,,opl,oelr,,,,,,,,,1,30,20026,10/10/2015,CHI,NYI,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
1,5:55,5v5,NYI,3,s,91,,,opr,,,,,,,,,,1,33,20026,10/10/2015,CHI,NYI,,,,12,18,91,3,44,30,,11,19,65,2,4,33
1,4:51,5v5,NYI,21,w,44,21,51,ol,oelpc,or,,,,,,,,1,33,20026,10/10/2015,CHI,NYI,,,,12,51,21,3,44,30,,15,72,88,7,43,33
1,4:02,5v5,NYI,84,t,28,84,86,or,oc,nc,y,y,,,,,,1,33,20026,10/10/2015,CHI,NYI,,,,29,84,86,28,37,30,,19,28,81,6,57,33
1,3:17,5v5,NYI,53,w,55,,,dsr,,,y,y,,,,,,1,33,20026,10/10/2015,CHI,NYI,,,,53,15,17,2,55,30,,14,29,86,7,43,33
1,3:13,5v5,NYI,55,o,8,91,,or,of,,,y,,,,,,1,33,20026,10/10/2015,CHI,NYI,,,,18,27,91,2,55,30,,11,16,65,2,4,33
1,2:30,5v5,CHI,86,w,14,,,or,,,,,,,,,,1,30,20026,10/10/2015,CHI,NYI,,,,18,27,91,2,55,30,,14,29,86,6,57,33
1,0:45,4v5,CHI,81,w,19,4,,nr,dr,,y,,1 on 0,,,,,1,30,20026,10/10/2015,CHI,NYI,,,,18,27,91,21,28,30,,19,81,7,43,33,0
1,0:03,4v4,CHI,2,s,19,2,,nl,dl,,,y,,,,,,1,30,20026,10/10/2015,CHI,NYI,,,,12,51,3,44,30,0,,19,88,2,7,33,0
2,19:46,4v4,NYI,27,t,2,18,27,ol,oc,nr,y,,,,,,,1,33,20026,10/10/2015,CHI,NYI,,,,18,27,2,55,30,0,,19,88,2,7,33,0
2,19:38,4v4,NYI,15,o,53,,,of,,,y,,,,,,,1,33,20026,10/10/2015,CHI,NYI,,,,18,27,2,55,30,0,,19,88,2,7,33,0
2,19:07,5v4,CHI,2,s,7,14,,opc,or,,,,,,,,,1,30,20026,10/10/2015,CHI,NYI,,,,53,15,37,55,30,0,,15,72,81,2,7,33
2,18:27,5v5,CHI,81,w,72,81,72,or,oelc,oelc,y,y,,,,,,1,30,20026,10/10/2015,CHI,NYI,,,,51,91,86,3,44,30,,15,72,81,6,57,33
2,17:44,5v5,CHI,28,w,88,57,19,oc,nc,nr,,y,,,,,,1,30,20026,10/10/2015,CHI,NYI,,,,12,91,21,3,44,30,,19,28,88,6,57,33
2,17:17,5v5,NYI,2,s,21,,,ol,,,,,,,,,,1,33,20026,10/10/2015,CHI,NYI,,,,12,29,21,2,28,30,,19,28,88,4,43,33
2,17:11,5v5,CHI,88,b,19,,,dc,,,y,y,,,,,,1,30,20026,10/10/2015,CHI,NYI,,,,29,21,17,2,28,30,,19,28,88,6,57,33
2,16:06,5v5,NYI,86,b,3,,,dsc,,,y,y,,,,,,1,33,20026,10/10/2015,CHI,NYI,,,,84,15,86,3,37,30,,11,16,65,7,43,33
2,15:06,5v5,CHI,19,t,81,19,28,or,oc,nl,y,y,,,,,,1,30,20026,10/10/2015,CHI,NYI,,,,12,91,21,2,44,30,,19,28,81,2,4,33
2,14:07,5v5,CHI,72,w,88,,,oelc,,,y,y,,y,,,,1,30,20026,10/10/2015,CHI,NYI,,,,27,29,51,2,37,30,,15,72,88,6,57,33
2,12:48,4v5,NYI,51,w,86,,,nc,,,,y,,,51,y,,2,33,20026,10/10/2015,CHI,NYI,,,,51,86,37,55,30,0,,19,65,88,2,7,33
2,11:47,5v4,CHI,88,w,19,88,86,oc,or,oc,,y,,,,,,2,30,20026,10/10/2015,CHI,NYI,,,,51,86,37,55,30,0,,19,65,88,86,2,33
2,9:03,5v4,NYI,3,s,2,29,,ol,opl,,,y,,,,,,2,33,20026,10/10/2015,CHI,NYI,,,,12,18,29,2,3,30,,19,81,7,43,33,0
2,8:13,5v5,CHI,72,w,7,,,dsc,,,y,y,1 on 0,,,,,2,30,20026,10/10/2015,CHI,NYI,,,,53,15,17,2,55,30,,15,72,88,7,43,33
2,7:35,5v5,NYI,28,o,91,,,opr,,,,,,,,,,2,33,20026,10/10/2015,CHI,NYI,,,,12,91,86,28,37,30,,15,28,88,6,7,33
2,7:15,5v5,CHI,81,w,19,4,19,oc,or,opr,,y,,,,,,2,30,20026,10/10/2015,CHI,NYI,,,,12,91,86,28,37,30,,19,28,81,4,6,33
2,7:06,5v5,CHI,19,w,81,2,,oc,ol,,,y,,,,,,2,30,20026,10/10/2015,CHI,NYI,,,,12,91,86,28,37,30,,19,28,81,2,4,33
2,4:56,5v5,CHI,2,o,11,16,43,oc,ol,dc,,,,,,,,2,30,20026,10/10/2015,CHI,NYI,,,,27,29,21,3,44,30,,11,16,65,2,4,33
2,3:35,5v5,CHI,88,t,57,72,88,or,oc,or,y,y,,y,,,,2,30,20026,10/10/2015,CHI,NYI,,,,29,21,17,3,44,30,,15,72,88,6,57,33
2,2:29,5v5,CHI,81,o,28,43,81,ol,ol,opl,,,,,,,,3,30,20026,10/10/2015,CHI,NYI,,,,18,51,84,28,37,30,,19,28,81,7,43,33
2,2:06,5v5,NYI,51,w,18,37,,nr,dr,,,,,,,,,3,33,20026,10/10/2015,CHI,NYI,,,,18,51,84,28,37,30,,19,28,65,7,43,33
2,1:51,5v5,CHI,18,w,19,,,oc,,,,y,,,,,,3,30,20026,10/10/2015,CHI,NYI,,,,18,51,84,28,37,30,,19,28,65,6,57,33
3,18:10,5v5,CHI,4,w,19,,,or,,,,,,,,,,3,30,20026,10/10/2015,CHI,NYI,,,,18,27,84,3,28,30,,19,28,81,2,4,33
3,17:53,5v5,CHI,81,o,28,19,,oc,nl,,,y,,,,,,3,30,20026,10/10/2015,CHI,NYI,,,,18,27,84,28,37,30,,19,28,81,2,4,33
3,17:35,5v5,CHI,11,w,2,,,dsl,,,,,,,,,,3,30,20026,10/10/2015,CHI,NYI,,,,18,27,84,37,55,30,,11,19,81,2,7,33
3,14:07,5v5,NYI,44,o,15,17,,opl,ol,,,,,,,,,3,33,20026,10/10/2015,CHI,NYI,,,,53,15,17,3,44,30,,14,29,86,6,57,33
3,13:07,5v4,CHI,81,o,2,72,2,oc,opl,ol,,,,,,,,3,30,20026,10/10/2015,CHI,NYI,,,,51,86,37,55,30,0,,19,72,81,88,2,33
3,12:41,5v4,CHI,81,o,19,72,,oc,oc,,y,y,,,,,,3,30,20026,10/10/2015,CHI,NYI,,,,51,86,37,55,30,0,,19,72,81,88,2,33
3,9:52,5v5,NYI,53,w,3,,,dr,,,,,,,,,,3,33,20026,10/10/2015,CHI,NYI,,,,53,15,2,3,44,30,,65,29,86,4,57,33
3,9:30,5v5,NYI,18,s,84,,,nsc,,,,y,,,,,,3,33,20026,10/10/2015,CHI,NYI,,,,18,27,84,28,37,30,,11,16,65,4,7,33
3,8:32,5v5,NYI,51,w,44,,,dl,,,,,,,,,,3,33,20026,10/10/2015,CHI,NYI,,,,51,21,86,3,44,30,,15,72,88,7,43,33
3,7:14,5v5,NYI,2,s,17,53,,oc,oelpr,,,,,,,,,3,33,20026,10/10/2015,CHI,NYI,,,,53,15,17,2,55,30,,14,29,86,6,57,33
3,6:07,5v3,CHI,81,w,4,,,dsr,,,y,,,,,,,3,30,20026,10/10/2015,CHI,NYI,,,,18,27,91,28,37,30,,19,28,81,2,4,33
3,5:32,5v3,CHI,2,o,72,2,81,oc,ol,oc,y,,,,,,,3,30,20026,10/10/2015,CHI,NYI,,,,51,37,55,30,0,0,,19,72,81,88,2,33
3,5:17,5v3,CHI,81,o,2,,,oc,,,y,y,,,,,,3,30,20026,10/10/2015,CHI,NYI,,,,51,37,55,30,0,0,,19,72,81,88,2,33
3,4:55,5v3,CHI,7,o,86,6,7,orrr,oc,ol,y,,,,,,,3,30,20026,10/10/2015,CHI,NYI,,,,53,3,44,30,0,0,,15,65,86,6,7,33
3,4:42,5v3,CHI,86,o,6,86,6,oc,or,oc,,y,,,,,,3,30,20026,10/10/2015,CHI,NYI,,,,53,3,44,30,0,0,,15,65,86,6,7,33
3,4:33,5v3,CHI,7,o,86,65,,orrr,or,,y,y,,y,,,,3,30,20026,10/10/2015,CHI,NYI,,,,53,3,44,30,0,0,,15,65,86,6,7,33
3,2:50,5v5,CHI,81,o,28,19,7,ol,oc,dsr,y,,,,,,,4,30,20026,10/10/2015,CHI,NYI,,,,18,84,17,2,3,30,,19,28,81,6,7,33
3,2:14,5v4,CHI,6,o,14,6,14,ol,ol,ol,,y,,,,,,4,30,20026,10/10/2015,CHI,NYI,,,,51,86,37,55,30,0,,14,29,86,6,57,33
3,1:51,5v4,CHI,86,w,57,6,29,oc,oc,ol,,y,,,,,,4,30,20026,10/10/2015,CHI,NYI,,,,51,86,37,55,30,0,,14,29,86,6,57,33
3,1:36,5v4,CHI,88,o,57,,,oc,,,,y,,,,,,4,30,20026,10/10/2015,CHI,NYI,,,,53,15,2,3,30,0,,15,72,88,6,57,33
3,0:09,5v5,NYI,29,w,17,8,,ol,dsl,,y,,,,,,,3,33,20026,10/10/2015,CHI,NYI,,,,18,29,2,3,28,30,,11,65,86,6,7,33
1,16:44,5v5,NYI,18,w,27,91,2,oc,nc,dl,,Y,,,,,,0,50,20015,10/9/2015,NYI,CHI,1,50,,18,27,91,2,55,1,,19,81,86,2,4,50
1,16:41,5v5,NYI,37,s,53,,,of,,,,,,,,,,0,50,20015,10/9/2015,NYI,CHI,30,33,,53,15,17,28,37,1,,11,16,28,6,57,50
1,16:32,5v5,CHI,28,s,16,11,16,orrr,nc,dc,,Y,,,,,,0,1,20015,10/9/2015,NYI,CHI,,,,53,15,17,28,37,1,,11,16,28,6,57,50
1,16:19,5v5,CHI,57,w,16,,,or,,,,,,,,,,0,1,20015,10/9/2015,NYI,CHI,,,,29,84,86,3,44,1,,15,72,88,7,43,50
1,16:15,5v5,CHI,7,s,15,,,of,,,,,,,,,,0,1,20015,10/9/2015,NYI,CHI,,,,29,84,86,3,44,1,,15,72,88,7,43,50
1,15:55,5v5,NYI,44,w,3,91,,nr,nf,,,,,,,,,0,50,20015,10/9/2015,NYI,CHI,,,,18,27,91,3,44,1,,15,72,88,7,43,50
1,15:50,5v5,NYI,3,s,88,,,or,,,,Y,,,,,,0,50,20015,10/9/2015,NYI,CHI,,,,18,27,91,3,44,1,,15,72,88,7,43,50
1,15:33,5v5,CHI,29,b,14,2,,oc,orrl,,Y,Y,,,65,Y,,0,1,20015,10/9/2015,NYI,CHI,,,,29,84,86,3,44,1,,65,14,29,2,4,50
1,12:21,5v5,NYI,84,w,28,37,84,nr,dc,nl,,,,,,,,0,50,20015,10/9/2015,NYI,CHI,,,,29,84,86,28,37,1,,65,14,29,7,43,50
1,12:18,5v5,NYI,21,w,51,,,of,,,Y,Y,,,,,,0,50,20015,10/9/2015,NYI,CHI,,,,12,51,21,3,44,1,,19,81,86,4,43,50
1,12:12,5v5,NYI,3,s,51,,,or,,,,Y,,,44,Y,,0,50,20015,10/9/2015,NYI,CHI,,,,12,51,21,3,44,1,,19,81,86,4,43,50
1,11:08,5v4,CHI,88,b,7,88,2,or,nr,dc,Y,Y,,,,,,0,1,20015,10/9/2015,NYI,CHI,,,,53,15,37,55,1,0,,19,65,88,2,7,50
1,8:56,5v5,CHI,4,s,11,2,,oc,ol,,,,,,,,,0,1,20015,10/9/2015,NYI,CHI,,,,18,27,91,2,55,1,,11,16,28,2,4,50
1,7:52,5v4,NYI,18,s,21,91,,ol,of,,,,,,,,,0,50,20015,10/9/2015,NYI,CHI,,,,18,27,91,21,28,1,,11,16,2,4,50,0
1,7:30,4v5,CHI,11,w,19,,,nc,,,,,,,,,,0,1,20015,10/9/2015,NYI,CHI,,,,18,27,91,21,28,1,,11,19,7,43,50,0
1,4:33,5v5,NYI,37,w,51,12,,or,dr,,,Y,,,21,,,-1,50,20015,10/9/2015,NYI,CHI,,,,12,51,21,28,37,1,,65,14,86,7,43,50
1,3:25,5v5,NYI,3,s,18,91,,or,of,,,Y,,,,,,-1,50,20015,10/9/2015,NYI,CHI,,,,18,27,91,3,44,1,,19,81,86,2,4,50
1,2:35,5v5,CHI,88,w,72,,,or,,,,Y,,,,,,-1,1,20015,10/9/2015,NYI,CHI,,,,12,51,21,2,55,1,,15,72,88,6,57,50
1,2:27,5v5,CHI,72,o,88,15,,or,or,,,Y,,,6,Y,,-1,1,20015,10/9/2015,NYI,CHI,,,,12,51,21,2,55,1,,15,72,88,6,57,50
1,1:50,5v5,CHI,43,s,65,14,,or,oell,,,,,,,,,-1,1,20015,10/9/2015,NYI,CHI,,,,29,84,86,28,37,1,,65,14,29,7,43,50
1,1:25,5v5,CHI,57,s,29,,,oelr,,,,,,,,,,-1,1,20015,10/9/2015,NYI,CHI,,,,53,15,17,3,44,1,,11,16,28,6,57,50
1,1:18,5v5,CHI,28,w,16,,,or,,,Y,,,,,,,-1,1,20015,10/9/2015,NYI,CHI,,,,53,15,17,3,44,1,,11,16,28,6,57,50
1,0:30,5v5,CHI,4,s,19,,,or,,,,,,,,,,-1,1,20015,10/9/2015,NYI,CHI,,,,18,27,91,3,44,1,,19,81,86,2,4,50
1,0:07,5v5,NYI,91,a,2,91,18,ol,oelc,or,Y,,,,,,,-1,50,20015,10/9/2015,NYI,CHI,,,,18,27,91,2,55,1,,19,81,86,2,4,50
1,0:01,5v5,NYI,18,w,2,,,oell,,,,,,,,,,-1,50,20015,10/9/2015,NYI,CHI,,,,18,27,91,2,55,1,,19,81,86,2,4,50
2,19:05,5v5,NYI,37,s,28,91,,ol,of,,,,,,,,,-1,50,20015,10/9/2015,NYI,CHI,,,,18,27,91,2,55,1,,11,16,28,7,43,50
2,16:40,5v4,CHI,7,w,88,2,7,nc,dc,dr,Y,Y,,,,,,-1,1,20015,10/9/2015,NYI,CHI,,,,51,86,37,55,1,0,,19,65,88,2,7,50
2,16:26,5v4,CHI,7,s,2,19,88,or,or,or,,,,,,,,-1,1,20015,10/9/2015,NYI,CHI,,,,51,86,37,55,1,0,,19,65,88,2,7,50
2,16:13,5v4,CHI,19,w,7,19,,ol,oell,,Y,,,,,,,-1,1,20015,10/9/2015,NYI,CHI,,,,51,86,37,55,1,0,,19,65,88,2,7,50
2,15:59,5v4,CHI,6,s,86,81,15,or,or,or,,,,,,,,-1,1,20015,10/9/2015,NYI,CHI,,,,12,15,3,44,1,0,,15,72,81,86,6,50
2,14:38,5v5,NYI,91,w,55,53,18,oelr,ol,ol,Y,Y,,,91,Y,Y,-1,50,20015,10/9/2015,NYI,CHI,,,,18,53,91,2,55,1,,19,65,88,2,4,50
2,13:50,5v5,NYI,21,w,51,,,dl,,,,,,,,,,0,50,20015,10/9/2015,NYI,CHI,,,,12,51,21,3,44,1,,15,72,88,6,57,50
2,13:12,5v5,NYI,86,w,29,44,84,orrc,dl,dl,Y,,,,,,,0,50,20015,10/9/2015,NYI,CHI,,,,29,84,86,3,44,1,,19,65,81,2,4,50
2,12:40,5v5,NYI,55,s,91,,,of,,,,Y,,,,,,0,50,20015,10/9/2015,NYI,CHI,,,,18,27,91,2,55,1,,15,16,88,7,43,50
2,10:12,5v5,CHI,28,w,11,43,,nl,dl,,Y,Y,,,,,,0,1,20015,10/9/2015,NYI,CHI,,,,12,51,21,37,44,1,,11,16,28,7,43,50
2,9:30,5v5,CHI,72,o,19,72,,or,or,,Y,Y,,,,,,0,1,20015,10/9/2015,NYI,CHI,,,,12,51,21,2,3,1,,19,72,81,6,57,50
2,8:52,5v5,CHI,11,w,28,,,ol,,,Y,Y,,,,,,0,1,20015,10/9/2015,NYI,CHI,,,,18,27,91,37,55,1,,11,16,28,2,4,50
2,6:55,5v5,CHI,43,s,19,,,nr,,,,Y,,,,,,0,1,20015,10/9/2015,NYI,CHI,,,,12,84,21,28,37,1,,19,65,81,7,43,50
2,6:05,5v5,CHI,11,w,16,28,,or,or,,Y,,,,,,,0,1,20015,10/9/2015,NYI,CHI,,,,53,15,17,3,44,1,,11,16,28,6,57,50
2,5:49,5v5,NYI,17,w,44,3,53,dsc,dr,dc,,,,,,,,0,50,20015,10/9/2015,NYI,CHI,,,,53,15,17,3,44,1,,11,16,28,6,57,50
2,5:06,5v5,CHI,72,w,2,,,nc,,,,,,,,,,0,1,20015,10/9/2015,NYI,CHI,,,,18,27,91,2,55,1,,19,72,88,2,57,50
2,4:58,5v5,CHI,72,w,2,,,or,,,Y,Y,,,,,,0,1,20015,10/9/2015,NYI,CHI,,,,18,91,86,2,55,1,,19,72,88,2,57,50
2,4:49,5v5,CHI,88,w,19,2,,oelc,ol,,Y,Y,,Y,,,,0,1,20015,10/9/2015,NYI,CHI,,,,18,91,86,2,55,1,,19,72,88,2,57,50
2,3:46,5v5,CHI,7,s,86,14,,oc,or,,,Y,,,,,,-1,1,20015,10/9/2015,NYI,CHI,,,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference,Event Not in PBP or >10 Second Difference
2,3:34,5v5,CHI,29,w,86,14,,oell,oelc,,Y,Y,,,,,,-1,1,20015,10/9/2015,NYI,CHI,,,,12,51,21,28,37,1,,14,29,86,7,43,50
2,3:30,5v5,CHI,86,w,14,,,ol,,,,Y,,,,,,-1,1,20015,10/9/2015,NYI,CHI,,,,12,51,21,28,37,1,,14,29,86,7,43,50
2,0:51,5v5,NYI,12,w,3,,,or,,,Y,,,,,,,-1,50,20015,10/9/2015,NYI,CHI,,,,12,51,21,3,44,1,,15,72,88,2,4,50
2,0:43,5v5,NYI,51,w,44,3,,oc,ol,,,,,,,,,-1,50,20015,10/9/2015,NYI,CHI,,,,12,51,21,3,44,1,,15,72,88,2,4,50
2,0:21,5v5,NYI,21,t,44,12,,ol,ol,,Y,Y,,,12,Y,,-1,50,20015,10/9/2015,NYI,CHI,,,,12,51,21,3,44,1,,15,72,88,2,4,50
3,19:25,5v5,CHI,65,w,81,19,81,oc,nc,dr,Y,,,,,,,-1,1,20015,10/9/2015,NYI,CHI,,,,12,51,21,3,44,1,,19,65,81,6,57,50
3,19:00,5v5,NYI,27,w,91,27,55,nc,dr,dr,,Y,,,,,,-1,50,20015,10/9/2015,NYI,CHI,,,,18,27,91,2,55,1,,15,72,88,2,4,50
3,18:42,5v5,NYI,28,s,29,86,,dl,dl,,,Y,,Y,,,,-1,50,20015,10/9/2015,NYI,CHI,,,,29,84,86,28,37,1,,11,16,28,2,4,50
3,17:58,5v5,NYI,12,w,21,51,,dr,dr,,Y,Y,,,,,,0,50,20015,10/9/2015,NYI,CHI,,,,12,51,21,3,37,1,,19,65,81,6,57,50
3,17:21,5v5,NYI,44,w,3,91,,or,or,,,Y,,,,,,0,50,20015,10/9/2015,NYI,CHI,,,,18,27,91,3,44,1,,19,65,81,6,57,50
3,16:22,5v5,CHI,15,w,88,,,nl,,,,Y,,,,,,0,1,20015,10/9/2015,NYI,CHI,,,,29,84,86,2,55,1,,15,72,88,7,43,50
3,13:59,5v5,CHI,4,s,72,,,ol,,,,,,,,,,0,1,20015,10/9/2015,NYI,CHI,,,,12,51,21,44,55,1,,15,72,88,2,4,50
3,13:53,5v5,CHI,4,s,2,,,ol,,,,,,,,,,0,1,20015,10/9/2015,NYI,CHI,,,,18,27,91,2,55,1,,15,72,88,2,4,50
3,13:29,5v5,CHI,2,s,7,86,7,nr,dc,dr,,Y,,,,,,0,1,20015,10/9/2015,NYI,CHI,,,,18,27,91,2,55,1,,28,29,86,2,7,50
3,13:02,5v5,NYI,37,s,27,18,28,or,ol,oc,,,,,,,,0,50,20015,10/9/2015,NYI,CHI,,,,18,27,91,28,37,1,,11,16,28,2,4,50
3,12:27,5v5,CHI,65,o,19,,,or,,,Y,Y,,,,,,0,1,20015,10/9/2015,NYI,CHI,,,,12,51,21,3,44,1,,19,65,81,7,43,50
3,11:30,5v5,NYI,15,w,84,28,37,nr,dr,dc,,Y,,,,,,0,50,20015,10/9/2015,NYI,CHI,,,,84,15,17,28,37,1,,15,72,88,6,57,50
3,10:32,5v5,CHI,86,w,57,,,nc,,,,,,,,,,0,1,20015,10/9/2015,NYI,CHI,,,,18,27,91,3,44,1,,14,29,86,2,4,50
3,9:56,5v5,CHI,19,w,81,,,oelc,,,Y,Y,,,4,,,0,1,20015,10/9/2015,NYI,CHI,,,,18,27,91,3,44,1,,19,65,81,2,4,50
3,9:26,5v5,CHI,81,w,19,81,19,or,oelr,oelc,,,,,,,,0,1,20015,10/9/2015,NYI,CHI,,,,12,51,21,3,44,1,,19,65,81,2,7,50
3,9:00,5v4,NYI,28,o,91,27,18,or,oelc,ol,,,,,,,,0,50,20015,10/9/2015,NYI,CHI,,,,18,27,91,21,28,1,,11,16,2,4,50,0
3,8:08,5v4,NYI,55,s,51,2,,or,dc,,,Y,,,,,,0,50,20015,10/9/2015,NYI,CHI,,,,12,29,51,2,55,1,,11,16,2,4,50,0
3,7:20,5v4,NYI,55,s,2,55,12,ol,oc,or,,y,,,,,,0,50,20015,10/9/2015,NYI,CHI,,,,12,29,51,2,55,1,,11,16,19,2,4,50
3,6:40,5v5,CHI,72,w,88,72,19,nr,dc,dr,,,,,,,,0,1,20015,10/9/2015,NYI,CHI,,,,53,15,17,3,44,1,,15,72,88,6,57,50
3,6:03,5v5,CHI,7,s,88,72,,oelr,or,,Y,,,,,,,0,1,20015,10/9/2015,NYI,CHI,,,,18,27,91,3,44,1,,15,72,88,4,7,50
3,5:33,5v5,CHI,29,w,7,14,,nc,dr,,,Y,,,,,,0,1,20015,10/9/2015,NYI,CHI,,,,29,84,86,28,37,1,,14,29,86,7,57,50
